pval ONEWAY,pval BOOTS
0.6238365886899377,0.6247
0.4004360691313517,0.4059
0.3320404748779494,0.3372
0.5902857893535947,0.5858
0.27374177147665624,0.277
0.904103945149553,0.902
0.869103688740406,0.8627
0.7589924790096467,0.762
0.692266113773091,0.6951
0.23106499781373172,0.2291
0.4024638796456189,0.4063
0.4906364573713169,0.4795
0.7526971781609486,0.7519
0.7801644500125594,0.7786
0.36797952246122,0.3652
0.3914941181277311,0.39
0.11918331496843897,0.1207
0.021513019449918288,0.0215
0.20293371111018935,0.2024
0.07957042264860252,0.0826
0.8341946371120226,0.8303
0.8259054441752403,0.833
0.3762061105894039,0.3716
0.44374517173530115,0.4513
0.20672973567685068,0.2076
0.3451275524282226,0.3448
0.7295239470083943,0.7259
0.5729036222135753,0.572
0.7792090435029098,0.7818
0.03800460826875981,0.0368
0.7796889406743743,0.781
0.23407261033207494,0.2368
0.38427161378777874,0.3857
0.6487773887095886,0.6538
0.652943511874754,0.6551
0.16033532708399564,0.162
0.04569378792990156,0.0486
0.20598097217946745,0.202
0.40427423334503787,0.4047
0.9865809225095443,0.9872
0.9835820969742325,0.9848
0.916304968087635,0.916
0.14998355171253458,0.1562
0.19400286840926417,0.1937
0.4142905462363957,0.4139
0.5442106855303093,0.5483
0.2081326617577799,0.2035
0.9384150058547535,0.9401
0.5602324384342174,0.5648
0.3311576140554065,0.3307
0.40409945934266067,0.4041
0.6993566963594604,0.7016
0.3777602618457659,0.3723
0.8928499131900749,0.8955
0.14989691169469554,0.1425
0.4756214205144482,0.4641
0.24045674611164405,0.2401
0.9891918263862887,0.9908
0.49237667361046833,0.4957
0.9761789076529658,0.975
0.7244339186647257,0.7237
0.4774638454525669,0.4748
0.9022683338055355,0.9016
0.18912040270862115,0.1914
0.5918765940832218,0.5947
0.6101002323973022,0.6107
0.7420371990619548,0.7432
0.7850096442118812,0.786
0.788576815197293,0.7938
0.21248440152093614,0.2151
0.32579257775409415,0.322
0.7725259055793271,0.7741
0.40247270343887825,0.4053
0.6177252058323741,0.623
0.5073383336595805,0.5042
0.9178100549157201,0.9234
0.1442994385664431,0.1438
0.8822187870287269,0.8793
0.6706957059305723,0.6698
0.7997730740029144,0.7952
0.030017713703311074,0.0283
0.7806657045846254,0.7795
0.7482137685809691,0.7352
0.8511842776674139,0.8498
0.25008185946052697,0.2453
0.8245093795333824,0.8272
0.6042615999570122,0.6038
0.4339895218215053,0.4315
0.33945958764121653,0.3358
0.5337829148167488,0.5317
0.6664053558462204,0.6714
0.49268495128401424,0.4963
0.21349397792588382,0.2077
0.0047853169275919715,0.0051
0.65204970985347,0.6489
0.8371149504751458,0.8464
0.8214390355243326,0.819
0.9454925182882209,0.9441
0.847694207510346,0.8464
0.3130433931397503,0.3193
